id,surveys,priority,trigger,label,text,formtype,choices,lookup,regex,setproperty,references,minfrequency,measure,answermin,answermax,explain,hint
DiabetesAge,Diabetes Initial,10,,,At what age did you develop diabetes?,integer,,,,,,10000,,,,,
med_count,medicines,100,,Med Count,How many medicines do you take regularly?,number,,,,,,60,,0,100,,
medicines,medicines,110,pt.answers.med_count.latest.val > 0,Meds,List any medicines you take regularly.,medicines,,medicines,,,,,,,,,
conditions,conditions,200,,Conditions,List any diseases or conditions you have.,conditions,,conditions,,,,,,,,,
ever_hypoglycemia,hypoglycemia,300,,,Have you ever had low blood sugar?,yesno,,,,,,7,,,,,
hypoglycemia_per_month,hypoglycemia,310,,,How many times have you had low blood sugar in the last month?,integer,,,,,,30,,,,,
most_recent_hypoglycemia,hypoglycemia,320,,,When was your most recent episode of low blood glucose?,recentDate,,,,,,7,,,,,
life_threatening_hypoglycemia,hypoglycemia,330,,Life-Threatening Hypoglycemia (lifetime),How many times have you had life-threatening low blood sugar in your lifetime?,integer,,,,,,,,,,,
hypoglycemia_1week_count,hypoglycemia,340,,,How many times have you had low blood sugar in the last 1 week?,integer,,,,,,,,,,,
lowest_glucose_1week,hypoglycemia,350,,Lowest Glucose Value in last 1 week,What is the lowest that your blood sugar has gotten in the last 1 week?,integer,,,,,,,,,,,
alert_hypoglycemia,hypoglycemia,360,,Agree to contact PCP,ALERT: Low blood sugar can be life threatening. We recommend you consult with your PCP as soon as possible. Do you agree?,yesno,,,,,,,,,,,
alert_contact_pcp,hypoglycemia,,pt.answers.alert_hypoglycemia.latest.val == 'yes',Contacted PCP of Hypoglycemia,Great! We recommend you tell your doctor that you are having life-threatening low blood glucose. We will wait here. Tap 'yes' when you have notified your doctor.,yesno,,,,,,,,,,,
physical_activity_vital_sign_1,PAVS,400,,Days of Moderate Exercise Per Week,How many days a week do you engage in moderate to strenuous exercise (like a brisk walk)?,number,,,,,,,,0,7,,
physical_activity_vital_sign_2,PAVS,410,pt.answers.physical_activity_vital_sign.latest.val > 0,Minutes of Moderate Exercise Per Day,"On those days that you exercise, how many minutes per day do you morerate to strenuous exercise?",number,,,,,,,,0,1440,,
,,,,,,,,,,,,,,,,,
OnInsulinPump,DiabetesInitial,,OnInsulin,,Are you on an insulin pump?,yesno,,,,,,180,,,,,
TotalUnitsInsulin,DiabetesInitial,,OnInsulin,,"How many total units of insulin do you receive per day, on average?",integer,,,,,,7,,,,,
DailyInsulin,DiabetesInitial,,OnInsulin,,How many units of insulin did you receive yesterday?,integer,,,,,,1,,,,,
LowestGlucose,DiabetesInitial,,HasDiabetes,,What is the lowest glucose reading you have ever had?,integer,,,,,,30,,,,,
HavingProblems,ProblemList,,,,Are you now experiencing any problems or bothersome symptoms?,yesno,,,,,,3,,,,,
ChiefComplaint,ProblemList,,HavingProblems,,What is the main problem or bothersome symptom you are experiencing now?,text,,,,,,3,,,,,
HavingOtherProblems,ProblemList,,ChiefComplaint,,What is another problem or bothersome symptom you are experiencing now?,text,,,,,,0,,,,,
OtherComplaint,ProblemList,,HavingOtherProblems,,What other problem or bothersome symptom are you experiencing now?,text,,,,,,7,,,,,
TrackChiefComplaint,ProblemList,,ChiefComplaint,,Would it be helpful if we track your main problem?,yesno,,,,,,3,,,,,
TrackOtherProblem,ProblemList,,HavingOtherProblems,,Would it be helpful if we track any of your problems?,yesno,,,,,,,,,,,
TrackGlucose,DiabetesInitial,,HasDiabetes,,Do you ever check your blood glucose levels?,yesno,,,,,,30,,,,,
OnInsulinRecommendTrackGlucose,DiabetesInitial,,OnInsulin && !TrackGlucose,,It is recommended that people who take insulin should check their blood glucose level at least once per day.  Will you start checking your blood glucose level?,yesno,,,,,,60,,,,,
HypoglycemiaRiskRecommendTrackGlucose,DiabetesInitial,,HypoglycemiaRisk && !TrackGlucose,,It is recommended that people who are at risk for low blood sugar should check their blood glucose level at least once per day.  Will you start checking your blood glucose level?,yesno,,,,,,60,,,,,
NextDiabetesMeeting,DiabetesPlan,,CureDiabetesSubscriber,,Your next Cure Diabetes group web meeting is on {schedule.cureDiabetes.nextMeeting.date}.  Do you plan to attend?,yesno,,,,,,3,,,,,
PlanToImproveDiet,DiabetesPlan,,,,Do you plan to improve your diet?,yesno,,,,,,60,,,,,
FavoriteFoods,DailyDiet; DiabetesInitial,,,,What are your favorite foods?,text,,,,,,30,,,,,
LeastFavoriteFoods,DailyDiet; DiabetesInitial,,,,What are your LEAST favorite foods?,text,,,,,,30,,,,,
FoodsBreakfast,DailyDiet,,,,What foods did you have for breakfast today?,text,,,,,,1,,,,,
FoodsLunch,DailyDiet,,,,What foods did you have for lunch today?,text,,,,,,1,,,,,
FoodsDinner,DailyDiet,,,,What foods did you have for dinner today?,text,,,,,,1,,,,,
QuantSnacks,DailyDiet,,,,How many snacks do you eat per day?,integer,,,,,,1,,,,,
FoodsSnack,DailyDiet,,QuantSnacks > 0,,What foods did you have for snack today?,text,,,,,,1,,,,,
RichFoodsPerDay,DailyDiet,,,,"How many times per day do you normally eat calorie rich foods (meat, dairy, eggs, processed foods containing added oil or sugar)?",number,,,,,,7,,,,,
FibrousFoodsPerDay,DailyDiet,,,,"How many times per day do you normally eat whole plant foods (beans, vegetables, fruits, whole grains)?",number,,,,,,7,,,,,
GlucoseAMFasting,DiabetesInitial,,HasDiabetes && TrackGlucose,,What was your fasting morning glucose reading?,integerPlusRecentDate,,,,,,1,mg/dL,,,,
