id,trigger,questionText,explain,References,surveys,priority,minFrequency,answerType,choices,unit,answerMinimum,answerMaximum,hint,answerPrefix,answerSuffix,measure,options,conditions
WhoHasDiabetes,,Who has diabetes?,,,CTA,10,,choice,Me;My Loved One,,,,,,,,,
DiabeticLovedOneNickname,WhoHasDiabetes=='my-loved-one',What is their nickname?,,,CTA,11,,text,,,,,,,,,,
AbleToHelp,WhoHasDiabetes=='my-loved-one',Are you able to help your loved one make lifestyle changes that have been proven to reverse diabetes?,,,CTA,20,,yesno,,,,,,,,,,
AbleToChange,WhoHasDiabetes=='my-loved-one',"Is your loved one able to make changes to their diet and lifestyle, if given the right support?",,,CTA,30,,yesno,,,,,,,,,,
HowContact,,How can we contact you to make these diet & lifestyle changes happen?,,,CTA;Contact,40,,choice,Email;Text Message;Alexa Message,,,,,,,,,
AbleToPay,WhoHasDiabetes=='my-loved-one',Would you want to pay ${price.annual} to get your loved one on the path to reversing their diabetes?,,,CTA,50,,yesno,,,,,,,,,,
Email,HowContact=='email',What is your email address?,,,CTA;Contact,60,,email,,,,,,,,,,
SMS,HowContact=='text-message',What is your cell phone number?,,,CTA;Contact,70,,sms,,,,,,,,,,
HowPay,AbleToPay,How would you like to pay?,,,CTA;Payment,80,,choice,Credit Card;Paypal;Bill Me Later,,,,,,,,,
HasPreDiabetes,! HasDiabetes,Do you have pre-diabetes?,,,DiabetesInitial,110,,yesno,,,,,,,,,,
DiabetesAge,HasDiabetes,At what age did you develop diabetes?,,,DiabetesInitial,120,10000,integer,,,,,,,,Age,,
PreDiabetesAge,HasDiabetes,At what age did you develop pre-diabetes?,,,DiabetesInitial,130,10000,integer,,,,,,,,Age,,
OnInsulin,HasDiabetes,Do you take any form of insulin?,,,DiabetesInitial,140,60,yesno,,,,,,,,,,
OnMetformin,HasDiabetes,Do you take metformin?,,,DiabetesInitial,150,60,yesno,,,,,,,,,,
OnHypoglycemic,HasDiabetes,Do you take any additional medication (BESIDES metformin) which can lower your blood glucose?,,,DiabetesInitial,160,60,yesno,,,,,,,,,,
OnInsulin,HasDiabetes,Do you take insulin?,,,DiabetesInitial,,10000,yesno,,,,,,,,,,
OnInsulinPump,OnInsulin,Are you on an insulin pump?,,,DiabetesInitial,,180,yesno,,,,,,,,,,
TotalUnitsInsulin,OnInsulin,"How many total units of insulin do you receive per day, on average?",,,DiabetesInitial,,7,integer,,,,,,,,,,
DailyInsulin,OnInsulin,How many units of insulin did you receive yesterday?,,,DiabetesInitial,,1,integer,,,,,,,,,,
